epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2309.6,1.66184,1.4516,1.75154,0.69116,0.52172,0.6046,0.30489,1.83919,1.53192,2.06955,0.001307,0.001307,0.001307
72,2342.17,1.65177,1.4277,1.75936,0.66756,0.49278,0.60169,0.29669,1.89265,1.50524,2.09383,0.0012971,0.0012971,0.0012971
73,2374.47,1.65229,1.40131,1.74618,0.61837,0.50307,0.57153,0.28125,1.92791,1.57485,2.14063,0.0012872,0.0012872,0.0012872
74,2406.65,1.63382,1.35605,1.73277,0.72757,0.54601,0.62997,0.30697,1.88269,1.52096,2.08816,0.0012773,0.0012773,0.0012773
75,2438.99,1.61715,1.31745,1.70375,0.67965,0.53365,0.6128,0.29979,1.88247,1.47419,2.07482,0.0012674,0.0012674,0.0012674
76,2471.26,1.58706,1.28865,1.69287,0.70981,0.55215,0.611,0.29615,1.87705,1.46277,2.09197,0.0012575,0.0012575,0.0012575
77,2503.59,1.61692,1.35327,1.72305,0.65197,0.55215,0.62953,0.28867,1.90728,1.52077,2.14279,0.0012476,0.0012476,0.0012476
78,2535.79,1.61431,1.30131,1.7136,0.70696,0.50321,0.58764,0.29279,1.87549,1.51172,2.09138,0.0012377,0.0012377,0.0012377
79,2568,1.59017,1.33057,1.6926,0.68972,0.54551,0.62995,0.30741,1.85502,1.47809,2.06034,0.0012278,0.0012278,0.0012278
80,2600.64,1.5821,1.31481,1.69702,0.74762,0.51534,0.61522,0.29126,1.95434,1.5043,2.13955,0.0012179,0.0012179,0.0012179
81,2633.01,1.59548,1.2829,1.69348,0.55902,0.53374,0.55159,0.25386,2.05274,1.81767,2.25017,0.001208,0.001208,0.001208
82,2665.37,1.6062,1.34426,1.71451,0.71006,0.52761,0.62407,0.30707,1.86696,1.43726,2.11674,0.0011981,0.0011981,0.0011981
83,2697.71,1.63307,1.35131,1.68348,0.68056,0.53374,0.59992,0.29099,1.87715,1.46718,2.08803,0.0011882,0.0011882,0.0011882
84,2730.03,1.59486,1.33612,1.71743,0.58704,0.56442,0.60107,0.29124,1.89689,1.51701,2.09836,0.0011783,0.0011783,0.0011783
85,2762.45,1.57838,1.33121,1.68332,0.63182,0.58896,0.61099,0.30028,1.87501,1.50799,2.08233,0.0011684,0.0011684,0.0011684
86,2794.96,1.58923,1.29704,1.69572,0.66166,0.51591,0.58231,0.29533,1.86775,1.5044,2.11627,0.0011585,0.0011585,0.0011585
87,2827.27,1.5924,1.30984,1.6849,0.68292,0.52853,0.60903,0.29739,1.86647,1.49386,2.08562,0.0011486,0.0011486,0.0011486
88,2859.57,1.57637,1.26709,1.674,0.72757,0.46012,0.56222,0.28241,1.91315,1.5555,2.11773,0.0011387,0.0011387,0.0011387
89,2891.85,1.56154,1.25319,1.63103,0.62399,0.55997,0.57889,0.27135,1.92103,1.55516,2.11358,0.0011288,0.0011288,0.0011288
90,2924.17,1.53259,1.24095,1.63394,0.63073,0.53442,0.59904,0.31299,1.85917,1.44708,2.05673,0.0011189,0.0011189,0.0011189
91,2956.57,1.52527,1.24234,1.6142,0.63352,0.53988,0.57632,0.29253,1.86108,1.52398,2.06971,0.001109,0.001109,0.001109
